time,x,y,z,vx,vy,vz,radius,in_late_averaging_window
1.030000000000000071e+01,3.530957608113814428e-01,2.664426151194669856e-01,1.306215972483402432e-01,2.977722363894736990e-01,-5.103160376153653005e-02,9.305050639963034775e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.040000000000000036e+01,3.840980055532666748e-01,2.616145930328696023e-01,1.401521705811325513e-01,3.159893248546875588e-01,-3.462126538024754008e-02,9.822551312322413963e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.050000000000000000e+01,4.182030264051694313e-01,2.596669972479235255e-01,1.486308269264297877e-01,3.405152279483862898e-01,-2.337441097257500836e-02,8.612482947591273974e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.060000000000000142e+01,4.505021249248616910e-01,2.573110555989231996e-01,1.568321076925980329e-01,3.066283585454994687e-01,-2.005403402956652120e-02,6.844673285725549894e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.070000000000000107e+01,4.817040494908779724e-01,2.555600497423855533e-01,1.645647512752692609e-01,2.999474255655401600e-01,-3.545090553379710158e-02,7.787603398868918336e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.080000000000000071e+01,5.104802334224221028e-01,2.538526322479128794e-01,1.700602685414940862e-01,2.669400336266293805e-01,2.670775771172865815e-03,3.279037589412650555e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.090000000000000036e+01,5.407362876095751503e-01,2.534040235168281696e-01,1.734225557345459023e-01,3.192954568260724102e-01,-1.272055896620459189e-02,2.830721278571395397e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.100000000000000000e+01,5.717535953639599766e-01,2.528562615420416049e-01,1.777096860185353733e-01,2.579206779157713902e-01,-1.091606797598379010e-03,6.558686115487233348e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.110000000000000142e+01,6.007346032432085980e-01,2.528130220532371908e-01,1.836201705648909388e-01,3.258126763863595787e-01,-6.695455733896266137e-03,5.543813745311471086e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.120000000000000107e+01,6.275965532553644532e-01,2.532653799747390799e-01,1.893627487972187051e-01,2.598829404948231891e-01,4.150690937764940636e-03,5.283863892191082573e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.130000000000000071e+01,6.549327524942891721e-01,2.555740960501373671e-01,1.945245659731063281e-01,2.522637768662656099e-01,1.478025672825068401e-02,6.074006899586587016e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.140000000000000036e+01,6.772066567280305982e-01,2.580376713764014340e-01,1.986524068954004241e-01,2.211431719858389378e-01,3.900674606005938294e-02,3.152299958289676851e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.150000000000000000e+01,7.025039629884102244e-01,2.621540574488609998e-01,2.017914299296075520e-01,2.506936490102376069e-01,4.892487049991024045e-02,3.714420426279262111e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.160000000000000142e+01,7.283062732139486961e-01,2.671919139163125845e-01,2.054714510553206086e-01,2.860996595734007775e-01,5.500152917374395711e-02,3.897958817662354469e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.170000000000000107e+01,7.570355443949148277e-01,2.738525995450946104e-01,2.076257912597435085e-01,2.988337676950259536e-01,7.476549441934149387e-02,8.991749436304393925e-03,5.000000000000000278e-02,1.000000000000000000e+00
1.180000000000000071e+01,7.842742620270486409e-01,2.803039487897056037e-01,2.118469905485963201e-01,2.474961751059545356e-01,6.227112694278243848e-02,4.810579488002430376e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.190000000000000036e+01,8.100513397921227376e-01,2.858059777457084838e-01,2.154657392389409676e-01,2.785990545289909193e-01,6.398596772352477258e-02,2.378874982458501625e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.200000000000000000e+01,8.344942215838694333e-01,2.877751124711629416e-01,2.181395029138056274e-01,2.656803852862107962e-01,1.647266032405142119e-02,2.359239713044927397e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.210000000000000142e+01,8.637406353213422650e-01,2.897629345568832893e-01,2.217645362679217524e-01,2.843452249574870971e-01,2.523356526200733543e-02,5.880850570838831726e-02,5.000000000000000278e-02,1.000000000000000000e+00
1.220000000000000107e+01,8.954273970350319356e-01,2.926201210687464083e-01,2.278643851203590864e-01,3.448129348215703271e-01,3.558360784267205340e-02,6.134365364737449228e-02,5.000000000000000278e-02,1.000000000000000000e+00
