time,x_wrapped,s_unwrapped,y,z,vx,vy,vz,radius,in_late_window,in_velocity_fit_window,vx_linear_fit
9.200000000000001066e+00,6.917608341958891849e-01,1.897208644051604942e+00,7.669610910565027861e-01,3.165509946693113030e-01,2.954383136309180813e+00,5.022136226425289590e-02,-3.671282262466208507e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.175596841034406648e+00
9.300000000000000711e+00,2.845689505779283035e-01,1.490016760433644061e+00,7.569775398712305092e-01,3.083957501845364657e-01,3.432330306203957182e+00,-1.026585411352712168e-01,-6.958179970831016026e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.201895004925233046e+00
9.400000000000000355e+00,5.894002446718227262e-03,1.211341812302433985e+00,7.826228282725394836e-01,2.902354049696942995e-01,2.959107442152867140e+00,6.434813141173480189e-03,2.714218301242136977e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.228193168816059888e+00
9.500000000000000000e+00,4.749311666304825708e-01,1.680378976486198273e+00,7.665713827158340266e-01,2.946465757056347945e-01,3.332247425758122272e+00,-8.460284124348284307e-02,9.784497245528989140e-03,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.254491332706886730e+00
9.600000000000001421e+00,1.229206805329758900e-01,1.328368490388691647e+00,7.449751582832538910e-01,2.919155793774999563e-01,3.266621224965936321e+00,1.835670197410724583e-02,1.049252052432356336e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.280789496597714017e+00
9.700000000000001066e+00,8.107012397819499672e-01,1.016149049637665724e+00,7.488456323202747900e-01,2.757614740705766621e-01,3.604962276987506264e+00,3.243604694869473698e-02,4.763538260542351903e-03,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.307087660488540859e+00
9.800000000000000711e+00,6.008656753792974703e-01,8.063134852350132276e-01,7.451681770833697982e-01,3.322669802632782776e-01,2.982112625526742278e+00,1.165308611817618550e-01,4.329461549924569497e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.333385824379367701e+00
9.900000000000000355e+00,6.620826829462211904e-02,1.271656078150337876e+00,7.448594400008269334e-01,3.059329076737490327e-01,3.332043055058897529e+00,-9.918685734271194543e-02,-7.041332191745275360e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.359683988270194543e+00
1.000000000000000000e+01,7.988832579062408179e-01,1.004331067761956575e+00,7.344672347092486842e-01,2.946957902329812584e-01,3.274151167327774559e+00,3.368305943870714830e-02,7.303299868397145067e-02,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.385982152161021386e+00
1.010000000000000142e+01,4.746052316740306809e-01,6.800530415297464382e-01,7.153044636121310695e-01,3.385801237595547075e-01,3.516904293261785330e+00,-1.463604774615790971e-01,8.500198107439141393e-03,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.412280316051848228e+00
1.020000000000000107e+01,1.355054211498886718e-01,3.409532310056044291e-01,7.327659301947810899e-01,3.185917132606454483e-01,3.592061555270367190e+00,2.508674256224551757e-01,2.868166617320503861e-02,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.438578479942675070e+00
1.030000000000000071e+01,7.433768932801999574e-01,-5.117529686408422984e-02,7.399946170842964799e-01,3.249581493806377730e-01,3.026495494240405204e+00,-1.150691315102770618e-01,1.158260271810714059e-01,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.464876643833501912e+00
1.040000000000000036e+01,4.695009267136833198e-01,-3.250512634306008675e-01,7.016236761452867565e-01,3.215829027239991422e-01,3.773429317320903031e+00,1.334273076658933355e-01,-9.656529522902675133e-02,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.491174807724328755e+00
1.050000000000000000e+01,2.980280883970792827e-01,-4.965241017472049045e-01,7.261492459182246062e-01,3.220895763879466078e-01,3.275829953956299168e+00,-9.829926486452013334e-02,5.239499701518317287e-02,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.517472971615155597e+00
1.060000000000000142e+01,5.131887647546834463e-02,-7.432333136688158426e-01,7.200406348417929259e-01,2.918392230996605385e-01,3.585843300726433203e+00,7.928036590843505482e-02,-9.555612144486455573e-02,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.543771135505982883e+00
1.070000000000000107e+01,7.805249661483200097e-01,-1.014027223995964233e+00,7.176082385550925924e-01,2.619256909053892524e-01,3.320093704838250392e+00,-1.348086917666406204e-01,-2.177777892443163305e-02,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.570069299396809726e+00
1.080000000000000071e+01,4.645610849579855373e-01,-1.329991105186298705e+00,6.932801283941987247e-01,2.847833681979656251e-01,3.121309523691647936e+00,7.024492885159072664e-02,1.068651983128899169e-01,5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,3.596367463287636568e+00
